City,context_device_id,received_at,search_start_timestamp,search_end_timestamp,car_id,cargroup_id,car_name,car_brand,car_location,car_accessories,km_driven,pricing,cargroup_name,license_no,user_type,is_booked,created_at_date
Bangalore,94478aca762c0bb3,2022-01-09 09:55:07.442 UTC,1.64171E+12,1.64243E+12,17233,168,Ignis,Maruti,0.7 km Bannerghatta Road (Royal Meenakshi Mall),"['Manual', 'Petrol', '5 Seats']","33,336",17613,Volkswagen Polo (Petrol),KA03AJ4076,RTU_2_5,1,1/9/2022
Bangalore,94478aca762c0bb3,2022-01-09 09:55:07.442 UTC,1.64171E+12,1.64243E+12,17490,113,Kwid,Renault,2.2 km Silk Board - Hosur Road (Hotel Ibis),"['Manual', 'Petrol', '5 Seats']","13,949",12607,Volkswagen Polo (Petrol),KA03AJ4076,RTU_2_5,1,1/9/2022
Bangalore,94478aca762c0bb3,2022-01-09 09:55:07.442 UTC,1.64171E+12,1.64243E+12,13817,109,Polo (Petrol),Volkswagen,2.9 km Arekere MICO Layout Hub - Zoomcar site,"['Manual', 'Petrol', '5 Seats']","70,482",13788,Volkswagen Polo (Petrol),KA03AJ4076,RTU_2_5,1,1/9/2022
Bangalore,94478aca762c0bb3,2022-01-09 09:55:07.442 UTC,1.64171E+12,1.64243E+12,17496,141,Celerio (Petrol),Maruti,3.4 km Electronics City- 1 Neeladiri Nagar- Zoomcar site,"['Manual', 'Petrol', '5 Seats']","25,411",14226,Volkswagen Polo (Petrol),KA03AJ4076,RTU_2_5,1,1/9/2022
Bangalore,94478aca762c0bb3,2022-01-09 09:55:07.442 UTC,1.64171E+12,1.64243E+12,20032,114,Glanza,Toyota,3.9 km BTM Mico Layout,"['Manual', 'Petrol', '5 Seats']","1,348",19665,Volkswagen Polo (Petrol),KA03AJ4076,RTU_2_5,1,1/9/2022
Bangalore,94478aca762c0bb3,2022-01-09 09:55:07.442 UTC,1.64171E+12,1.64243E+12,15252,186,I20,Hyundai,4.0 km Electronics City- 1 ( Infosys Gate-6 ),"['Manual', 'Petrol', '5 Seats']","67,324",14198,Volkswagen Polo (Petrol),KA03AJ4076,RTU_2_5,1,1/9/2022
Bangalore,94478aca762c0bb3,2022-01-09 09:55:07.442 UTC,1.64171E+12,1.64243E+12,13306,60,Tiago,Tata,4.8 km Electronics City- 1 Neeladiri Nagar- Zoomcar site,"['Manual', 'Diesel', '5 Seats']","54,969",13562,Volkswagen Polo (Petrol),KA03AJ4076,RTU_2_5,1,1/9/2022
Bangalore,94478aca762c0bb3,2022-01-09 09:55:07.442 UTC,1.64171E+12,1.64243E+12,18316,219,Grand i10 Sportz,Hyundai,"6.4 km 34th C Cross Rd, 4th T Block East- SP","['Manual', 'Petrol', '5 Seats']","17,275",14183,Volkswagen Polo (Petrol),KA03AJ4076,RTU_2_5,1,1/9/2022
Bangalore,94478aca762c0bb3,2022-01-09 09:55:07.442 UTC,1.64171E+12,1.64243E+12,19522,138,Dzire (Petrol),Maruti,"6.5 km Opp K C Das Sweets, 9th Block, 4th Block- SP","['Manual', 'Petrol', '5 Seats']","17,940",26977,Volkswagen Polo (Petrol),KA03AJ4076,RTU_2_5,1,1/9/2022
Bangalore,94478aca762c0bb3,2022-01-09 09:55:07.442 UTC,1.64171E+12,1.64243E+12,19860,172,Brezza Petrol,Maruti,7.7 km Royal Park residency Layout 1- SP,"['Manual', 'Petrol', '5 Seats']","8,596",29246,Volkswagen Polo (Petrol),KA03AJ4076,RTU_2_5,1,1/9/2022
Bangalore,94478aca762c0bb3,2022-01-09 09:55:07.442 UTC,1.64171E+12,1.64243E+12,20122,89,Marazzo,Mahindra,8.1 km ISRO Layout Park- SP,"['Manual', 'Diesel', '7 Seats']","36,914",25719,Volkswagen Polo (Petrol),KA03AJ4076,RTU_2_5,1,1/9/2022
Bangalore,94478aca762c0bb3,2022-01-09 09:55:07.442 UTC,1.64171E+12,1.64243E+12,18992,120,Nexon,Tata,8.8 km Koramangala - Beside Accel ,"['Manual', 'Petrol', '5 Seats']","11,716",24953,Volkswagen Polo (Petrol),KA03AJ4076,RTU_2_5,1,1/9/2022
Bangalore,94478aca762c0bb3,2022-01-09 09:55:07.442 UTC,1.64171E+12,1.64243E+12,17023,187,Go T,Datsun,8.9 km Hebbagodi Hub,"['Manual', 'Petrol', '5 Seats']","4,616",13071,Volkswagen Polo (Petrol),KA03AJ4076,RTU_2_5,1,1/9/2022
Bangalore,94478aca762c0bb3,2022-01-09 09:55:07.442 UTC,1.64171E+12,1.64243E+12,19896,132,Swift,Maruti,9.7 km Bellandur - Beside Sakara Hospital,"['Manual', 'Petrol', '5 Seats']","28,119",16935,Volkswagen Polo (Petrol),KA03AJ4076,RTU_2_5,1,1/9/2022
Bangalore,94478aca762c0bb3,2022-01-09 09:55:07.442 UTC,1.64171E+12,1.64243E+12,7493,75,Freestyle,Ford,9.8 km Bellandur - Beside Sakara Hospital,"['Manual', 'Diesel', '5 Seats']","47,075",13747,Volkswagen Polo (Petrol),KA03AJ4076,RTU_2_5,1,1/9/2022
Bangalore,94478aca762c0bb3,2022-01-09 09:55:07.442 UTC,1.64171E+12,1.64243E+12,8392,28,Baleno Diesel,Maruti,11.6 km Ulsoor Casablanca estate near Gurudwara,"['Manual', 'Diesel', '5 Seats']","83,469",12884,Volkswagen Polo (Petrol),KA03AJ4076,RTU_2_5,1,1/9/2022
